Month Year,Area Type (table sort),Area,Claim Type,Attribute Category,Attribute,Value
Sep-20,State,Out-of-State,Initial Claims,Industry,Financial Activities,84
Sep-20,State,Out-of-State,Initial Claims,Industry,Educational  & Health Services,183
Sep-20,State,Out-of-State,Initial Claims,Industry,Construction,252
Sep-20,County,Alamance,Initial Claims,Claimants,Total Claimants,1042
Sep-20,County,Alamance,Initial Claims,COVID,COVID-19 Claimants,523
Sep-20,County,Alamance,Initial Claims,Gender,Other,
Sep-20,County,Alamance,Initial Claims,Gender,Male,
Sep-20,County,Alamance,Initial Claims,Gender,Female,549
Sep-20,County,Alamance,Initial Claims,Race,Race Unknown,100
Sep-20,County,Alamance,Initial Claims,Race,Other Race,58
Sep-20,County,Alamance,Initial Claims,Race,White,446
Sep-20,County,Alamance,Initial Claims,Race,Black,438
Sep-20,County,Alamance,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,63
Sep-20,County,Alamance,Initial Claims,Hispanic Origin,Not Hispanic,858
Sep-20,County,Alamance,Initial Claims,Hispanic Origin,Hispanic,121
Sep-20,County,Alamance,Initial Claims,Age,65+,45
Sep-20,County,Alamance,Initial Claims,Age,60 to 64,63
Sep-20,County,Alamance,Initial Claims,Age,55 to 59,87
Sep-20,County,Alamance,Initial Claims,Age,45 to 54,167
Sep-20,County,Alamance,Initial Claims,Age,35 to 44,200
Sep-20,County,Alamance,Initial Claims,Age,25 to 34,305
Sep-20,County,Alamance,Initial Claims,Age,Less than 25,175
Sep-20,County,Alamance,Initial Claims,Industry,Unclassified / Unknown,234
Sep-20,County,Alamance,Initial Claims,Industry,"Trade, Transportation, & Utilities",161
Sep-20,County,Alamance,Initial Claims,Industry,Public Administration,11
Sep-20,County,Alamance,Initial Claims,Industry,Professional & Business Services,153
Sep-20,County,Alamance,Initial Claims,Industry,Other Services,29
Sep-20,County,Alamance,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Alamance,Initial Claims,Industry,Manufacturing,126
Sep-20,County,Alamance,Initial Claims,Industry,Leisure & Hospitality,105
Sep-20,County,Alamance,Initial Claims,Industry,Information,
Sep-20,County,Alamance,Initial Claims,Industry,Financial Activities,28
Sep-20,County,Alamance,Initial Claims,Industry,Educational  & Health Services,147
Sep-20,County,Alamance,Initial Claims,Industry,Construction,45
Sep-20,County,Alexander,Initial Claims,Claimants,Total Claimants,216
Sep-20,County,Alexander,Initial Claims,COVID,COVID-19 Claimants,121
Sep-20,County,Alexander,Initial Claims,Gender,Other,
Sep-20,County,Alexander,Initial Claims,Gender,Male,115
Sep-20,County,Alexander,Initial Claims,Gender,Female,
Sep-20,County,Alexander,Initial Claims,Race,Race Unknown,12
Sep-20,County,Alexander,Initial Claims,Race,Other Race,8
Sep-20,County,Alexander,Initial Claims,Race,White,167
Sep-20,County,Alexander,Initial Claims,Race,Black,29
Sep-20,County,Alexander,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,11
Sep-20,County,Alexander,Initial Claims,Hispanic Origin,Not Hispanic,187
Sep-20,County,Alexander,Initial Claims,Hispanic Origin,Hispanic,18
Sep-20,County,Alexander,Initial Claims,Age,65+,18
Sep-20,County,Alexander,Initial Claims,Age,60 to 64,20
Sep-20,County,Alexander,Initial Claims,Age,55 to 59,24
Sep-20,County,Alexander,Initial Claims,Age,45 to 54,42
Sep-20,County,Alexander,Initial Claims,Age,35 to 44,40
Sep-20,County,Alexander,Initial Claims,Age,25 to 34,49
Sep-20,County,Alexander,Initial Claims,Age,Less than 25,23
Sep-20,County,Alexander,Initial Claims,Industry,Unclassified / Unknown,46
Sep-20,County,Alexander,Initial Claims,Industry,"Trade, Transportation, & Utilities",29
Sep-20,County,Alexander,Initial Claims,Industry,Public Administration,0
Sep-20,County,Alexander,Initial Claims,Industry,Professional & Business Services,19
Sep-20,County,Alexander,Initial Claims,Industry,Other Services,
Sep-20,County,Alexander,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Alexander,Initial Claims,Industry,Manufacturing,68
Sep-20,County,Alexander,Initial Claims,Industry,Leisure & Hospitality,22
Sep-20,County,Alexander,Initial Claims,Industry,Information,0
Sep-20,County,Alexander,Initial Claims,Industry,Financial Activities,
Sep-20,County,Alexander,Initial Claims,Industry,Educational  & Health Services,23
Sep-20,County,Alexander,Initial Claims,Industry,Construction,5
Sep-20,County,Alleghany,Initial Claims,Claimants,Total Claimants,54
Sep-20,County,Alleghany,Initial Claims,COVID,COVID-19 Claimants,26
Sep-20,County,Alleghany,Initial Claims,Gender,Other,0
Sep-20,County,Alleghany,Initial Claims,Gender,Male,29
Sep-20,County,Alleghany,Initial Claims,Gender,Female,25
Sep-20,County,Alleghany,Initial Claims,Race,Race Unknown,
Sep-20,County,Alleghany,Initial Claims,Race,Other Race,
Sep-20,County,Alleghany,Initial Claims,Race,White,46
Sep-20,County,Alleghany,Initial Claims,Race,Black,5
Sep-20,County,Alleghany,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,
Sep-20,County,Alleghany,Initial Claims,Hispanic Origin,Not Hispanic,47
Sep-20,County,Alleghany,Initial Claims,Hispanic Origin,Hispanic,
Sep-20,County,Alleghany,Initial Claims,Age,65+,7
Sep-20,County,Alleghany,Initial Claims,Age,60 to 64,
Sep-20,County,Alleghany,Initial Claims,Age,55 to 59,
Sep-20,County,Alleghany,Initial Claims,Age,45 to 54,10
Sep-20,County,Alleghany,Initial Claims,Age,35 to 44,9
Sep-20,County,Alleghany,Initial Claims,Age,25 to 34,14
Sep-20,County,Alleghany,Initial Claims,Age,Less than 25,
Sep-20,County,Alleghany,Initial Claims,Industry,Unclassified / Unknown,17
Sep-20,County,Alleghany,Initial Claims,Industry,"Trade, Transportation, & Utilities",
Sep-20,County,Alleghany,Initial Claims,Industry,Public Administration,0
Sep-20,County,Alleghany,Initial Claims,Industry,Professional & Business Services,
Sep-20,County,Alleghany,Initial Claims,Industry,Other Services,
Sep-20,County,Alleghany,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Alleghany,Initial Claims,Industry,Manufacturing,9
Sep-20,County,Alleghany,Initial Claims,Industry,Leisure & Hospitality,
Sep-20,County,Alleghany,Initial Claims,Industry,Information,0
Sep-20,County,Alleghany,Initial Claims,Industry,Financial Activities,
Sep-20,County,Alleghany,Initial Claims,Industry,Educational  & Health Services,
Sep-20,County,Alleghany,Initial Claims,Industry,Construction,5
Sep-20,County,Anson,Initial Claims,Claimants,Total Claimants,244
Sep-20,County,Anson,Initial Claims,COVID,COVID-19 Claimants,121
Sep-20,County,Anson,Initial Claims,Gender,Other,
Sep-20,County,Anson,Initial Claims,Gender,Male,
Sep-20,County,Anson,Initial Claims,Gender,Female,127
Sep-20,County,Anson,Initial Claims,Race,Race Unknown,
Sep-20,County,Anson,Initial Claims,Race,Other Race,
Sep-20,County,Anson,Initial Claims,Race,White,82
Sep-20,County,Anson,Initial Claims,Race,Black,154
Sep-20,County,Anson,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,
Sep-20,County,Anson,Initial Claims,Hispanic Origin,Not Hispanic,202
Sep-20,County,Anson,Initial Claims,Hispanic Origin,Hispanic,
Sep-20,County,Anson,Initial Claims,Age,65+,10
Sep-20,County,Anson,Initial Claims,Age,60 to 64,17
Sep-20,County,Anson,Initial Claims,Age,55 to 59,19
Sep-20,County,Anson,Initial Claims,Age,45 to 54,37
Sep-20,County,Anson,Initial Claims,Age,35 to 44,52
Sep-20,County,Anson,Initial Claims,Age,25 to 34,67
Sep-20,County,Anson,Initial Claims,Age,Less than 25,42
Sep-20,County,Anson,Initial Claims,Industry,Unclassified / Unknown,43
Sep-20,County,Anson,Initial Claims,Industry,"Trade, Transportation, & Utilities",24
Sep-20,County,Anson,Initial Claims,Industry,Public Administration,
Sep-20,County,Anson,Initial Claims,Industry,Professional & Business Services,18
Sep-20,County,Anson,Initial Claims,Industry,Other Services,
Sep-20,County,Anson,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Anson,Initial Claims,Industry,Manufacturing,102
Sep-20,County,Anson,Initial Claims,Industry,Leisure & Hospitality,7
Sep-20,County,Anson,Initial Claims,Industry,Information,0
Sep-20,County,Anson,Initial Claims,Industry,Financial Activities,0
Sep-20,County,Anson,Initial Claims,Industry,Educational  & Health Services,34
Sep-20,County,Anson,Initial Claims,Industry,Construction,11
Sep-20,County,Ashe,Initial Claims,Claimants,Total Claimants,119
Sep-20,County,Ashe,Initial Claims,COVID,COVID-19 Claimants,62
Sep-20,County,Ashe,Initial Claims,Gender,Other,0
Sep-20,County,Ashe,Initial Claims,Gender,Male,56
Sep-20,County,Ashe,Initial Claims,Gender,Female,63
Sep-20,County,Ashe,Initial Claims,Race,Race Unknown,5
Sep-20,County,Ashe,Initial Claims,Race,Other Race,
Sep-20,County,Ashe,Initial Claims,Race,White,105
Sep-20,County,Ashe,Initial Claims,Race,Black,
Sep-20,County,Ashe,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,9
Sep-20,County,Ashe,Initial Claims,Hispanic Origin,Not Hispanic,105
Sep-20,County,Ashe,Initial Claims,Hispanic Origin,Hispanic,5
Sep-20,County,Ashe,Initial Claims,Age,65+,6
Sep-20,County,Ashe,Initial Claims,Age,60 to 64,9
Sep-20,County,Ashe,Initial Claims,Age,55 to 59,16
Sep-20,County,Ashe,Initial Claims,Age,45 to 54,25
Sep-20,County,Ashe,Initial Claims,Age,35 to 44,27
Sep-20,County,Ashe,Initial Claims,Age,25 to 34,20
Sep-20,County,Ashe,Initial Claims,Age,Less than 25,16
Sep-20,County,Ashe,Initial Claims,Industry,Unclassified / Unknown,23
Sep-20,County,Ashe,Initial Claims,Industry,"Trade, Transportation, & Utilities",17
Sep-20,County,Ashe,Initial Claims,Industry,Public Administration,
Sep-20,County,Ashe,Initial Claims,Industry,Professional & Business Services,7
Sep-20,County,Ashe,Initial Claims,Industry,Other Services,0
Sep-20,County,Ashe,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Ashe,Initial Claims,Industry,Manufacturing,21
Sep-20,County,Ashe,Initial Claims,Industry,Leisure & Hospitality,14
Sep-20,County,Ashe,Initial Claims,Industry,Information,
Sep-20,County,Ashe,Initial Claims,Industry,Financial Activities,
Sep-20,County,Ashe,Initial Claims,Industry,Educational  & Health Services,21
Sep-20,County,Ashe,Initial Claims,Industry,Construction,8
Sep-20,County,Avery,Initial Claims,Claimants,Total Claimants,76
Sep-20,County,Avery,Initial Claims,COVID,COVID-19 Claimants,37
Sep-20,County,Avery,Initial Claims,Gender,Other,0
Sep-20,County,Avery,Initial Claims,Gender,Male,45
Sep-20,County,Avery,Initial Claims,Gender,Female,31
Sep-20,County,Avery,Initial Claims,Race,Race Unknown,
Sep-20,County,Avery,Initial Claims,Race,Other Race,
Sep-20,County,Avery,Initial Claims,Race,White,68
Sep-20,County,Avery,Initial Claims,Race,Black,
Sep-20,County,Avery,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,
Sep-20,County,Avery,Initial Claims,Hispanic Origin,Not Hispanic,67
Sep-20,County,Avery,Initial Claims,Hispanic Origin,Hispanic,
Sep-20,County,Avery,Initial Claims,Age,65+,
Sep-20,County,Avery,Initial Claims,Age,60 to 64,
Sep-20,County,Avery,Initial Claims,Age,55 to 59,
Sep-20,County,Avery,Initial Claims,Age,45 to 54,15
Sep-20,County,Avery,Initial Claims,Age,35 to 44,23
Sep-20,County,Avery,Initial Claims,Age,25 to 34,17
Sep-20,County,Avery,Initial Claims,Age,Less than 25,8
Sep-20,County,Avery,Initial Claims,Industry,Unclassified / Unknown,26
Sep-20,County,Avery,Initial Claims,Industry,"Trade, Transportation, & Utilities",6
Sep-20,County,Avery,Initial Claims,Industry,Public Administration,
Sep-20,County,Avery,Initial Claims,Industry,Professional & Business Services,
Sep-20,County,Avery,Initial Claims,Industry,Other Services,
Sep-20,County,Avery,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Avery,Initial Claims,Industry,Manufacturing,
Sep-20,County,Avery,Initial Claims,Industry,Leisure & Hospitality,13
Sep-20,County,Avery,Initial Claims,Industry,Information,0
Sep-20,County,Avery,Initial Claims,Industry,Financial Activities,
Sep-20,County,Avery,Initial Claims,Industry,Educational  & Health Services,14
Sep-20,County,Avery,Initial Claims,Industry,Construction,6
Sep-20,County,Beaufort,Initial Claims,Claimants,Total Claimants,362
Sep-20,County,Beaufort,Initial Claims,COVID,COVID-19 Claimants,158
Sep-20,County,Beaufort,Initial Claims,Gender,Other,0
Sep-20,County,Beaufort,Initial Claims,Gender,Male,196
Sep-20,County,Beaufort,Initial Claims,Gender,Female,166
Sep-20,County,Beaufort,Initial Claims,Race,Race Unknown,18
Sep-20,County,Beaufort,Initial Claims,Race,Other Race,11
Sep-20,County,Beaufort,Initial Claims,Race,White,174
Sep-20,County,Beaufort,Initial Claims,Race,Black,159
Sep-20,County,Beaufort,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,90
Sep-20,County,Beaufort,Initial Claims,Hispanic Origin,Not Hispanic,258
Sep-20,County,Beaufort,Initial Claims,Hispanic Origin,Hispanic,14
Sep-20,County,Beaufort,Initial Claims,Age,65+,32
Sep-20,County,Beaufort,Initial Claims,Age,60 to 64,25
Sep-20,County,Beaufort,Initial Claims,Age,55 to 59,44
Sep-20,County,Beaufort,Initial Claims,Age,45 to 54,70
Sep-20,County,Beaufort,Initial Claims,Age,35 to 44,71
Sep-20,County,Beaufort,Initial Claims,Age,25 to 34,80
Sep-20,County,Beaufort,Initial Claims,Age,Less than 25,40
Sep-20,County,Beaufort,Initial Claims,Industry,Unclassified / Unknown,58
Sep-20,County,Beaufort,Initial Claims,Industry,"Trade, Transportation, & Utilities",40
Sep-20,County,Beaufort,Initial Claims,Industry,Public Administration,7
Sep-20,County,Beaufort,Initial Claims,Industry,Professional & Business Services,25
Sep-20,County,Beaufort,Initial Claims,Industry,Other Services,
Sep-20,County,Beaufort,Initial Claims,Industry,Natural Resources & Mining,7
Sep-20,County,Beaufort,Initial Claims,Industry,Manufacturing,86
Sep-20,County,Beaufort,Initial Claims,Industry,Leisure & Hospitality,27
Sep-20,County,Beaufort,Initial Claims,Industry,Information,
Sep-20,County,Beaufort,Initial Claims,Industry,Financial Activities,9
Sep-20,County,Beaufort,Initial Claims,Industry,Educational  & Health Services,75
Sep-20,County,Beaufort,Initial Claims,Industry,Construction,20
Sep-20,County,Bertie,Initial Claims,Claimants,Total Claimants,131
Sep-20,County,Bertie,Initial Claims,COVID,COVID-19 Claimants,61
Sep-20,County,Bertie,Initial Claims,Gender,Other,
Sep-20,County,Bertie,Initial Claims,Gender,Male,
Sep-20,County,Bertie,Initial Claims,Gender,Female,
Sep-20,County,Bertie,Initial Claims,Race,Race Unknown,
Sep-20,County,Bertie,Initial Claims,Race,Other Race,
Sep-20,County,Bertie,Initial Claims,Race,White,
Sep-20,County,Bertie,Initial Claims,Race,Black,98
Sep-20,County,Bertie,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,
Sep-20,County,Bertie,Initial Claims,Hispanic Origin,Not Hispanic,115
Sep-20,County,Bertie,Initial Claims,Hispanic Origin,Hispanic,
Sep-20,County,Bertie,Initial Claims,Age,65+,
Sep-20,County,Bertie,Initial Claims,Age,60 to 64,
Sep-20,County,Bertie,Initial Claims,Age,55 to 59,
Sep-20,County,Bertie,Initial Claims,Age,45 to 54,21
Sep-20,County,Bertie,Initial Claims,Age,35 to 44,23
Sep-20,County,Bertie,Initial Claims,Age,25 to 34,34
Sep-20,County,Bertie,Initial Claims,Age,Less than 25,27
Sep-20,County,Bertie,Initial Claims,Industry,Unclassified / Unknown,32
Sep-20,County,Bertie,Initial Claims,Industry,"Trade, Transportation, & Utilities",25
Sep-20,County,Bertie,Initial Claims,Industry,Public Administration,0
Sep-20,County,Bertie,Initial Claims,Industry,Professional & Business Services,13
Sep-20,County,Bertie,Initial Claims,Industry,Other Services,
Sep-20,County,Bertie,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Bertie,Initial Claims,Industry,Manufacturing,18
Sep-20,County,Bertie,Initial Claims,Industry,Leisure & Hospitality,12
Sep-20,County,Bertie,Initial Claims,Industry,Information,
Sep-20,County,Bertie,Initial Claims,Industry,Financial Activities,
Sep-20,County,Bertie,Initial Claims,Industry,Educational  & Health Services,20
Sep-20,County,Bertie,Initial Claims,Industry,Construction,
Sep-20,County,Bladen,Initial Claims,Claimants,Total Claimants,218
Sep-20,County,Bladen,Initial Claims,COVID,COVID-19 Claimants,98
Sep-20,County,Bladen,Initial Claims,Gender,Other,0
Sep-20,County,Bladen,Initial Claims,Gender,Male,
Sep-20,County,Bladen,Initial Claims,Gender,Female,
Sep-20,County,Bladen,Initial Claims,Race,Race Unknown,9
Sep-20,County,Bladen,Initial Claims,Race,Other Race,13
Sep-20,County,Bladen,Initial Claims,Race,White,82
Sep-20,County,Bladen,Initial Claims,Race,Black,114
Sep-20,County,Bladen,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,16
Sep-20,County,Bladen,Initial Claims,Hispanic Origin,Not Hispanic,195
Sep-20,County,Bladen,Initial Claims,Hispanic Origin,Hispanic,7
Sep-20,County,Bladen,Initial Claims,Age,65+,12
Sep-20,County,Bladen,Initial Claims,Age,60 to 64,11
Sep-20,County,Bladen,Initial Claims,Age,55 to 59,13
Sep-20,County,Bladen,Initial Claims,Age,45 to 54,44
Sep-20,County,Bladen,Initial Claims,Age,35 to 44,44
Sep-20,County,Bladen,Initial Claims,Age,25 to 34,63
Sep-20,County,Bladen,Initial Claims,Age,Less than 25,31
Sep-20,County,Bladen,Initial Claims,Industry,Unclassified / Unknown,59
Sep-20,County,Bladen,Initial Claims,Industry,"Trade, Transportation, & Utilities",30
Sep-20,County,Bladen,Initial Claims,Industry,Public Administration,
Sep-20,County,Bladen,Initial Claims,Industry,Professional & Business Services,26
Sep-20,County,Bladen,Initial Claims,Industry,Other Services,
Sep-20,County,Bladen,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Bladen,Initial Claims,Industry,Manufacturing,34
Sep-20,County,Bladen,Initial Claims,Industry,Leisure & Hospitality,11
Sep-20,County,Bladen,Initial Claims,Industry,Information,
Sep-20,County,Bladen,Initial Claims,Industry,Financial Activities,
Sep-20,County,Bladen,Initial Claims,Industry,Educational  & Health Services,30
Sep-20,County,Bladen,Initial Claims,Industry,Construction,16
Sep-20,County,Brunswick,Initial Claims,Claimants,Total Claimants,583
Sep-20,County,Brunswick,Initial Claims,COVID,COVID-19 Claimants,305
Sep-20,County,Brunswick,Initial Claims,Gender,Other,
Sep-20,County,Brunswick,Initial Claims,Gender,Male,
Sep-20,County,Brunswick,Initial Claims,Gender,Female,302
Sep-20,County,Brunswick,Initial Claims,Race,Race Unknown,39
Sep-20,County,Brunswick,Initial Claims,Race,Other Race,24
Sep-20,County,Brunswick,Initial Claims,Race,White,406
Sep-20,County,Brunswick,Initial Claims,Race,Black,114
Sep-20,County,Brunswick,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,58
Sep-20,County,Brunswick,Initial Claims,Hispanic Origin,Not Hispanic,495
Sep-20,County,Brunswick,Initial Claims,Hispanic Origin,Hispanic,30
Sep-20,County,Brunswick,Initial Claims,Age,65+,68
Sep-20,County,Brunswick,Initial Claims,Age,60 to 64,30
Sep-20,County,Brunswick,Initial Claims,Age,55 to 59,46
Sep-20,County,Brunswick,Initial Claims,Age,45 to 54,94
Sep-20,County,Brunswick,Initial Claims,Age,35 to 44,112
Sep-20,County,Brunswick,Initial Claims,Age,25 to 34,151
Sep-20,County,Brunswick,Initial Claims,Age,Less than 25,82
Sep-20,County,Brunswick,Initial Claims,Industry,Unclassified / Unknown,204
Sep-20,County,Brunswick,Initial Claims,Industry,"Trade, Transportation, & Utilities",94
Sep-20,County,Brunswick,Initial Claims,Industry,Public Administration,
Sep-20,County,Brunswick,Initial Claims,Industry,Professional & Business Services,42
Sep-20,County,Brunswick,Initial Claims,Industry,Other Services,20
Sep-20,County,Brunswick,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Brunswick,Initial Claims,Industry,Manufacturing,17
Sep-20,County,Brunswick,Initial Claims,Industry,Leisure & Hospitality,91
Sep-20,County,Brunswick,Initial Claims,Industry,Information,
Sep-20,County,Brunswick,Initial Claims,Industry,Financial Activities,18
Sep-20,County,Brunswick,Initial Claims,Industry,Educational  & Health Services,59
Sep-20,County,Brunswick,Initial Claims,Industry,Construction,30
Sep-20,County,Buncombe,Initial Claims,Claimants,Total Claimants,1257
Sep-20,County,Buncombe,Initial Claims,COVID,COVID-19 Claimants,655
Sep-20,County,Buncombe,Initial Claims,Gender,Other,
Sep-20,County,Buncombe,Initial Claims,Gender,Male,
Sep-20,County,Buncombe,Initial Claims,Gender,Female,644
Sep-20,County,Buncombe,Initial Claims,Race,Race Unknown,99
Sep-20,County,Buncombe,Initial Claims,Race,Other Race,59
Sep-20,County,Buncombe,Initial Claims,Race,White,921
Sep-20,County,Buncombe,Initial Claims,Race,Black,178
Sep-20,County,Buncombe,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,122
Sep-20,County,Buncombe,Initial Claims,Hispanic Origin,Not Hispanic,1065
Sep-20,County,Buncombe,Initial Claims,Hispanic Origin,Hispanic,70
Sep-20,County,Buncombe,Initial Claims,Age,65+,107
Sep-20,County,Buncombe,Initial Claims,Age,60 to 64,58
Sep-20,County,Buncombe,Initial Claims,Age,55 to 59,84
Sep-20,County,Buncombe,Initial Claims,Age,45 to 54,211
Sep-20,County,Buncombe,Initial Claims,Age,35 to 44,250
Sep-20,County,Buncombe,Initial Claims,Age,25 to 34,370
Sep-20,County,Buncombe,Initial Claims,Age,Less than 25,177
Sep-20,County,Buncombe,Initial Claims,Industry,Unclassified / Unknown,358
Sep-20,County,Buncombe,Initial Claims,Industry,"Trade, Transportation, & Utilities",185
Sep-20,County,Buncombe,Initial Claims,Industry,Public Administration,11
Sep-20,County,Buncombe,Initial Claims,Industry,Professional & Business Services,117
Sep-20,County,Buncombe,Initial Claims,Industry,Other Services,57
Sep-20,County,Buncombe,Initial Claims,Industry,Natural Resources & Mining,
Sep-20,County,Buncombe,Initial Claims,Industry,Manufacturing,85
Sep-20,County,Buncombe,Initial Claims,Industry,Leisure & Hospitality,223
Sep-20,County,Buncombe,Initial Claims,Industry,Information,
Sep-20,County,Buncombe,Initial Claims,Industry,Financial Activities,27
Sep-20,County,Buncombe,Initial Claims,Industry,Educational  & Health Services,140
Sep-20,County,Buncombe,Initial Claims,Industry,Construction,42
Sep-20,County,Burke,Initial Claims,Claimants,Total Claimants,466
Sep-20,County,Burke,Initial Claims,COVID,COVID-19 Claimants,249
Sep-20,County,Burke,Initial Claims,Gender,Other,
Sep-20,County,Burke,Initial Claims,Gender,Male,244
Sep-20,County,Burke,Initial Claims,Gender,Female,
Sep-20,County,Burke,Initial Claims,Race,Race Unknown,41
Sep-20,County,Burke,Initial Claims,Race,Other Race,20
Sep-20,County,Burke,Initial Claims,Race,White,359
Sep-20,County,Burke,Initial Claims,Race,Black,46
Sep-20,County,Burke,Initial Claims,Hispanic Origin,Hispanic Origin Unknown,40
Sep-20,County,Burke,Initial Claims,Hispanic Origin,Not Hispanic,402
Sep-20,County,Burke,Initial Claims,Hispanic Origin,Hispanic,24
Sep-20,County,Burke,Initial Claims,Age,65+,29
Sep-20,County,Burke,Initial Claims,Age,60 to 64,22
Sep-20,County,Burke,Initial Claims,Age,55 to 59,53
Sep-20,County,Burke,Initial Claims,Age,45 to 54,96
Sep-20,County,Burke,Initial Claims,Age,35 to 44,93
