OPDIV,CFDA Number,CFDA Program Title,Award Number,Award Title,Action Date,Recipient Name,City,State,Approp Code,Award Amount
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),9/11/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$200,000 "
ACF,93.6,Head Start,04CH011226,Early Head Start,9/10/2020,Verner,ASHEVILLE,NC,C3,"$87,881 "
ACF,93.6,Head Start,04HP000082,Early Head Start/Child Care Partnership,9/10/2020,"CHAPEL HILL TRAINING-OUTREACH PROJECT, INC.",CHAPEL HILL,NC,C3,"$140,609 "
ACF,93.6,Head Start,04CH011737,Head Start and Early Head Start,9/10/2020,"WESTERN CAROLINA COMMUNITY ACTION, INC",HENDERSONVILLE,NC,C3,"$391,070 "
ACF,93.6,Head Start,04CH011753,Head Start and Early Head Start,9/10/2020,"COASTAL COMMUNITY ACTION, INC",NEWPORT,NC,C3,"$667,015 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),9/9/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,$0 
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),9/9/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,$0 
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,9/9/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$17,834,622 "
NIH,93.394,Cancer Detection and Diagnosis Research,P30CA014236,Cancer Center Support Grant,9/8/2020,Duke University,DURHAM,NC,C4,"$155,412 "
NIH,93.855,Allergy and Infectious Diseases Research,U01AI149644,Respiratory Virus Vaccine and Adjuvant Exploration - Equipment Supplement,9/4/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,C3,"$1,088,512 "
NIH,93.35,National Center for Advancing Translational Sciences,UH3TR002142,"Vascular, Cardiac, and Lung Alveolar Human Microphysiological Systems for SARS COV2 Drug Screening",9/3/2020,Duke University,DURHAM,NC,C3,"$280,600 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,9/1/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,C3,$0 
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,9/1/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,$0 
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X37032,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,8/30/2020,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37260,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,8/30/2020,NEW HANOVER REGIONAL MEDICAL CENTER,WILMINGTON,NC,C3,$0 
CDC,93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security",NU2HGH000074,Expanding Efforts and Strategies to Protect and Improve Public Health Globally-West Africa Region,8/28/2020,FAMILY HEALTH INTERNATIONAL,DURHAM,NC,CV,"$1,308,000 "
NIH,93.855,Allergy and Infectious Diseases Research,R01AI132178,Broad-spectrum antiviral GS-5734 to treat MERS-CoV and related emerging CoV,8/28/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$458,053 "
NIH,93.855,Allergy and Infectious Diseases Research,U19AI100625,Systems Immunogenetics of Biodefense and Emerging Pathogens in the Collaborative Cross,8/28/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$91,160 "
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),8/27/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,CV,$0 
ACF,93.6,Head Start,04CH011643,Head Start and Early Head Start,8/25/2020,"Southeastern Community Action Partnership, Inc.",LUMBERTON,NC,C3,"$171,367 "
ACF,93.6,Head Start,04CH4728,Head Start,8/25/2020,"NASH-EDGECOMBE COUNTIES ECONOMIC DEVELOPMENT, INC",ROCKY MOUNT,NC,C3,"$556,285 "
ACF,93.6,Head Start,04CH011744,Head Start and Early Head Start,8/25/2020,"IREDELL COMMUNITY ACTION RESEARCH & EVALUATION, INC",STATESVILLE,NC,C3,"$308,461 "
CDC,93.067,Global AIDS,NU2GGH002033,"Strengthening the Strategic Information Capacity of Ministry of Health (MOH) in support of HIV/AIDS Prevention, Care and Treatment Activities in the DRC.",8/25/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,CV,$0 
NIH,93.855,Allergy and Infectious Diseases Research,U19AI100625,Systems Immunogenetics of Biodefense and Emerging Pathogens in the Collaborative Cross,8/24/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$412,634 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,8/24/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$1,403,811 "
CDC,93.318,"Protecting and Improving Health Globally: Building and Strengthening Public Health Impact, Systems, Capacity and Security",NU2HGH000047,Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in the Democratic Republic of the Congo (DRC),8/22/2020,RESEARCH TRIANGLE INSTITUTE,RSCH TRIANGLE PK,NC,CV,"$100,000 "
CDC,93.24,State Capacity Building,NU61TS000301,North Carolina's Partnership to Promote Local Efforts to Reduce Environmental Exposure Program,8/21/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$55,938 "
ACF,93.6,Head Start,04CH010373,Head Start,8/19/2020,DUPLIN COUNTY BOARD OF EDUCATION,KENANSVILLE,NC,C3,"$151,155 "
ACF,93.6,Head Start,04CH011088,Head Start,8/19/2020,"BLUE RIDGE OPPORTUNITY COMMISSION, INC",NORTH WILKESBORO,NC,C3,"$118,639 "
NIH,93.855,Allergy and Infectious Diseases Research,U19AI100625,Systems Immunogenetics of Biodefense and Emerging Pathogens in the Collaborative Cross,8/19/2020,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,CHAPEL HILL,NC,CV,"$564,671 "
SAMHSA,93.665,Emergency Grants to Address Mental and Substance Use Disorders During COVID-19,H79FG000190,NC Emergency COVID-19,8/19/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,$0 
ACF,93.6,Head Start,90CM009849,Migrant Head Start and Early Head Start,8/18/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$992,173 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,8/18/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$24,427,777 "
HRSA,93.153,"Coordinated Services and Access to Research for Women, Infants, Children, and Youth",H1X36977,Ryan White HIV/AIDS Program Part D WICY COVID-19 Response,8/17/2020,Duke University,DURHAM,NC,C3,"($37,714)"
CDC,93.084,"Prevention of Disease, Disability, and Death by Infectious Diseases  ",U01CK000587,Multi-scale modeling and phylodynamics for healthcare associated infections,8/13/2020,NORTH CAROLINA STATE UNIVERSITY AT RALEIGH,RALEIGH,NC,CV,"$650,000 "
ACF,93.6,Head Start,04HP000263,Early Head Start/Child Care Partnership,8/12/2020,"CHAPEL HILL TRAINING-OUTREACH PROJECT, INC.",CHAPEL HILL,NC,C3,"$27,243 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,8/12/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$16,687,150 "
HRSA,93.914,HIV Emergency Relief Project Grants,U9039765,Special Projects of National Significance,8/11/2020,"Quality Home Care Services, Inc",CHARLOTTE,NC,CV,"$30,000 "
HRSA,93.914,HIV Emergency Relief Project Grants,U9039765,Special Projects of National Significance,8/11/2020,"Quality Home Care Services, Inc",CHARLOTTE,NC,CV,"$330,000 "
ACF,93.6,Head Start,04HP000306,Early Head Start/Child Care Partnership,8/10/2020,"WESTERN CAROLINA COMMUNITY ACTION, INC",HENDERSONVILLE,NC,C3,"$87,881 "
ACF,93.6,Head Start,04HP000264,Early Head Start/Child Care Partnership,8/10/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$98,426 "
NIH,93.855,Allergy and Infectious Diseases Research,P01AI117915,Immunogenicity and Efficacy of SARS-CoV-2 stabilized prefusion Spike protein vaccines in infant rhesus macaques,8/10/2020,Duke University,DURHAM,NC,CV,"$1,227,827 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,8/7/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$16,951,807 "
ACF,93.6,Head Start,90CM009847,Migrant and Seasonal Head Start,8/4/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$197,732 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,8/3/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$9,589,068 "
CDC,93.268,Immunization Cooperative Agreements,NH23IP922624,CDC-RFA-IP19-1901 Immunization and Vaccines for Children,7/31/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,$0 
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,7/27/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$615,715 "
ACF,93.6,Head Start,04CH011084,Head Start,7/24/2020,CLEVELAND COUNTY SCHOOL DISTRICT,SHELBY,NC,C3,"$196,853 "
CDC,93.067,Global AIDS,NU2GGH002033,"Strengthening the Strategic Information Capacity of Ministry of Health (MOH) in support of HIV/AIDS Prevention, Care and Treatment Activities in the DRC.",7/24/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,CV,$0 
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,$0 
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"($13,670)"
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"($36,521)"
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"($37,365)"
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"($32,972)"
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"($204,472)"
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/24/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"($150,000)"
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8D36384,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding",7/24/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,C3,$0 
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8C35011,FY 2020 Coronavirus Supplemental Funding for Health Centers,7/24/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,CV,$0 
HRSA,93.224,"Health Center Program (Community Health Centers, Migrant Health Centers, Health Care for the Homeless, and Public Housing Primary Care)",H8E38081,FY 2020 Expanding Capacity for Coronavirus Testing (ECT),7/24/2020,"METROPOLITAN COMMUNITY HEALTH SERVICES, INC",WASHINGTON,NC,C4,$0 
ACF,93.6,Head Start,04CH011686,Head Start,7/23/2020,COMMUNITY ACTION OPPORTUNIES,ASHEVILLE,NC,C3,"$445,555 "
ACF,93.6,Head Start,04CH011500,Head Start,7/23/2020,"ECONOMIC IMPROVEMENT COUNCIL, INC",EDENTON,NC,C3,"$307,583 "
ACF,93.6,Head Start,04HP0047,Early Head Start/Child Care Partnership,7/23/2020,CLEVELAND COUNTY PARTNERSHIP FOR CHILDREN,SHELBY,NC,C3,"$126,548 "
ACF,93.6,Head Start,04CH011698,Head Start and Early Head Start,7/23/2020,"JOHNSTON-LEE COMMUNITY ACTION, INC",SMITHFIELD,NC,C3,"$610,772 "
ACF,93.6,Head Start,04CH011733,Head Start,7/22/2020,ONSLOW COUNTY BOARD OF EDUCATION,JACKSONVILLE,NC,C3,"$202,126 "
ACF,93.6,Head Start,05HP000214,Early Head Start/Child Care Partnership,7/22/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$87,881 "
ACF,93.6,Head Start,05CH010441,Head Start and Early Head Start,7/22/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$402,494 "
ACF,93.6,Head Start,05CH011119,Early Head Start,7/22/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$49,213 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$32,972 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,$0 
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$13,670 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$150,000 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$37,365 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$36,521 "
CDC,93.136,Injury Prevention and Control Research and State and Community Based Programs,NU17CE924847,North Carolina BASE Injury,7/21/2020,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,RALEIGH,NC,C3,"$204,472 "
ACF,93.6,Head Start,90CI010025,AIAN Head Start and Early Head Start,7/17/2020,EASTERN BAND OF CHEROKEE INDIANS,CHEROKEE,NC,C3,"$202,125 "
CDC,93.981,"Improving Student Health and Academic Achievement through Nutrition, Physical Activity and the Management of Chronic Conditions in Schools",NU58DP006437,"Improving Student Health and Academic Achievement through Nutrition, Physical Activity and the Management of Chronic Conditions in Schools",7/17/2020,NC ST DEPARTMENT OF PUBLIC INSTRUCTION,RALEIGH,NC,C3,"$333,333 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,7/17/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$47,540,164 "
SAMHSA,93.829,Section 223 Demonstration Programs to Improve Community Mental Health Services,H79SM083115,Monarch's CCBHC Expansion Project FY2020,7/16/2020,MONARCH,ALBEMARLE,NC,C3,$0 
ACF,93.6,Head Start,04CH011723,Head Start,7/15/2020,"FOUR SQUARE COMMUNITY ACTION, INC",ANDREWS,NC,C3,"$156,428 "
ACF,93.6,Head Start,04CH010337,Early Head Start,7/15/2020,Verner,ASHEVILLE,NC,C3,"$57,122 "
ACF,93.6,Head Start,04CH011142,Head Start,7/15/2020,"YADKIN VALLEY ECONOMIC DEVELOPMENT DISTRICT, INC",BOONVILLE,NC,C3,"$338,341 "
ACF,93.6,Head Start,04CH011433,Head Start,7/15/2020,PENDER COUNTY BOARD OF EDUCATION,BURGAW,NC,C3,"$173,125 "
ACF,93.6,Head Start,04CH011159,Head Start,7/15/2020,"CHAPEL HILL TRAINING-OUTREACH PROJECT, INC.",CHAPEL HILL,NC,C3,"$283,855 "
ACF,93.6,Head Start,04CH011375,Head Start and Early Head Start,7/15/2020,"CHAPEL HILL TRAINING-OUTREACH PROJECT, INC.",CHAPEL HILL,NC,C3,"$187,186 "
ACF,93.6,Head Start,04CH011261,Head Start,7/15/2020,CHAPEL HILL-CARRBORO CITY SCHOOL DISTRICT,CHAPEL HILL,NC,C3,"$119,518 "
ACF,93.6,Head Start,04CH010080,Head Start and Early Head Start,7/15/2020,"BETHLEHEM CENTER OF CHARLOTTE, INC.",CHARLOTTE,NC,C3,"$549,255 "
ACF,93.6,Head Start,04CH011372,Early Head Start,7/15/2020,DURHAMS PARTNERSHIP FOR CHILDREN,DURHAM,NC,C3,"$94,911 "
ACF,93.6,Head Start,04CH010401,Head Start,7/15/2020,"ECONOMIC IMPROVEMENT COUNCIL, INC",EDENTON,NC,C3,"$439,404 "
ACF,93.6,Head Start,04HP000154,Early Head Start/Child Care Partnership,7/15/2020,"ECONOMIC IMPROVEMENT COUNCIL, INC",EDENTON,NC,C3,"$253,097 "
ACF,93.6,Head Start,04CH010288,Head Start and Early Head Start,7/15/2020,"ACTION PATHWAYS, INC",FAYETTEVILLE,NC,C3,"$725,895 "
ACF,93.6,Head Start,04CH011079,Head Start,7/15/2020,"GASTON COMMUNITY ACTION, INC",GASTONIA,NC,C3,"$378,766 "
ACF,93.6,Head Start,04CH011032,Head Start and Early Head Start,7/15/2020,GUILFORD CHILD DEVELOPMENT,GREENSBORO,NC,C3,"$1,025,568 "
ACF,93.6,Head Start,04CH4756,Head Start,7/15/2020,"FRANKLIN VANCE WARREN OPPORTUNITY, INC",HENDERSON,NC,C3,"$375,251 "
ACF,93.6,Head Start,04HP000132,Early Head Start/Child Care Partnership,7/15/2020,"Onslow County Partnership for Children, Inc.",JACKSONVILLE,NC,C3,"$36,910 "
ACF,93.6,Head Start,04CH011295,Early Head Start,7/15/2020,"Onslow County Partnership for Children, Inc.",JACKSONVILLE,NC,C3,"$63,274 "
ACF,93.6,Head Start,04CH010408,Head Start and Early Head Start,7/15/2020,MCDOWELL COUNTY BOARD OF EDUCATION,MARION,NC,C3,"$158,185 "
ACF,93.6,Head Start,04CH010406,Head Start and Early Head Start,7/15/2020,"UNION COUNTY COMMUNITY ACTION, INC",MONROE,NC,C3,"$500,920 "
ACF,93.6,Head Start,04CH011489,Early Head Start,7/15/2020,"THE ENOLA GROUP, INC.",MORGANTON,NC,C3,"$175,762 "
ACF,93.6,Head Start,04CH011355,Early Head Start,7/15/2020,Catawba County Schools,NEWTON,NC,C3,"$70,305 "
ACF,93.6,Head Start,04CH011440,Head Start and Early Head Start,7/15/2020,"INTERMOUNTAIN CHILDREN'S SERVICES, INC",SPRUCE PINE,NC,C3,"$144,125 "
ACF,93.6,Head Start,04CH011756,Head Start,7/15/2020,ALEXANDER COUNTY BOARD OF EDUCATION,TAYLORSVILLE,NC,C3,"$87,881 "
ACF,93.6,Head Start,04CH011471,Head Start and Early Head Start,7/15/2020,"MOUNTAIN PROJECTS, INC",WAYNESVILLE,NC,C3,"$185,429 "
ACF,93.6,Head Start,04CH010892,Head Start,7/15/2020,NEW HANOVER COUNTY SCHOOL DISTRICT,WILMINGTON,NC,C3,"$228,490 "
CDC,93.323,Epidemiology and Laboratory Capacity for Infectious Diseases (ELC),NU50CK000530,CK19-1904 Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC),7/15/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$100,000 "
NIH,93.35,National Center for Advancing Translational Sciences,U24TR001608,Center for Innovative TRIals in ChilDrEN and AdulTs (TRIDENT),7/15/2020,Duke University,DURHAM,NC,C3,"$869,057 "
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C36817,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,7/14/2020,ROBESON HEALTH CARE CORPORATION,FAIRMONT,NC,C3,$0 
HRSA,93.918,Grants to Provide Outpatient Early Intervention Services with Respect to HIV Disease,H7C37256,Ryan White HIV/AIDS Program Part C EIS COVID-19 Response,7/14/2020,"TRI COUNTY COMMUNITY HEALTH COUNCIL, INC.",NEWTON GROVE,NC,C3,$0 
ACF,93.6,Head Start,90CM009828,Migrant Head Start,7/13/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$329,553 "
ACF,93.6,Head Start,90HM000021,Migrant Early Head Start,7/13/2020,"East Coast Migrant Head Start Project, The",RALEIGH,NC,C3,"$77,335 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,7/13/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$567,549 "
NIH,93.855,Allergy and Infectious Diseases Research,UM1AI068619,CoVPN Vaccine Site Preparation,7/13/2020,INTERNATIONAL FERTILITY RESEARCH PROGRAM,DURHAM,NC,C3,"$9,255,029 "
ACF,93.6,Head Start,04HP000364,Early Head Start/Child Care Partnership,7/9/2020,"ACTION PATHWAYS, INC",FAYETTEVILLE,NC,C3,"$84,366 "
ACF,93.6,Head Start,04HP000368,Early Head Start/Child Care Partnership,7/9/2020,"GREENE LAMP, INC",KINSTON,NC,C3,"$63,274 "
ACF,93.6,Head Start,04HP000360,Early Head Start/Child Care Partnership,7/9/2020,"FAMILY SERVICES, INC",WINSTON SALEM,NC,C3,"$105,457 "
ACF,93.6,Head Start,04CH010705,Head Start and Early Head Start,7/7/2020,"WAYNE ACTION GROUP FOR ECONOMIC SOLVENCY, INC",GOLDSBORO,NC,C3,"$543,103 "
ACF,93.6,Head Start,04CH011346,Early Head Start - COLA and Quality Improvement Application.,7/7/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$66,789 "
ACF,93.6,Head Start,04CH010311,Head Start and Early Head Start - COLA and Quality Improvement Application.,7/7/2020,TELAMON CORPORATION,RALEIGH,NC,C3,"$1,048,417 "
ACF,93.6,Head Start,04CH011184,Head Start and Early Head Start,7/7/2020,"SALISBURY ROWAN COMMUNITY ACTION AGENCY, INC.",SALISBURY,NC,C3,"$453,465 "
HRSA,93.527,Grants for New and Expanded Services under the Health Center Program,L1C39410,FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing,7/7/2020,"NEIGHBORHEALTH CENTER, INC.",Raleigh,NC,C4,"$157,142 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP190591,Hospital Preparedness Program Cooperative Agreement (Program Announcement EP-U3R-19-001),7/6/2020,North Carolina Department of Health and Human Services,RALEIGH,NC,C3,"$2,607,932 "
HRSA,93.527,Grants for New and Expanded Services under the Health Center Program,L1C39408,FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing,7/6/2020,Black River Health Services Inc,Burgaw,NC,C4,"$216,602 "
HRSA,93.527,Grants for New and Expanded Services under the Health Center Program,L1C39409,FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing,7/6/2020,"HOT SPRINGS HEALTH PROGRAM, INC",HOT SPRINGS,NC,C4,"$283,862 "
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,7/2/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,C3,$0 
DHHS/OS,93.889,National Bioterrorism Hospital Preparedness Program,U3REP200659,North Carolina Rural Hospital COVID Support,7/2/2020,"North Carolina Healthcare Foundation, Inc. ",CARY,NC,CV,$0 
