hospital,type,amount,LATITUDE,LONGITUDE
The Moses H. Cone Memorial Hospital,General Hospital,"836,899",36.09088474,-79.78645738
The Outer Banks Hospital,Rural Hospital,"708,756",35.9398365,-75.61764914
Transylvania Regional Hospital,Rural Hospital,"726,519",35.2561391,-82.71191029
Triangle Springs,General Hospital,"6,907",35.902703,-78.815544
University Of North Carolina Hospital,Teaching Hospital,"3,000,000",35.9045427,-79.04968923
Veritas Collaborative Hospitals,General Hospital,"36,673",36.00994038,-78.94232538
Vidant Beaufort Hospital,Rural Hospital,"741,566",35.54922191,-77.03783805
Vidant Bertie Hospital,Rural Hospital,"462,286",35.98864755,-76.92824949
Vidant Chowan Hospital,Rural Hospital,"664,551",36.06997928,-76.61120353
Vidant Duplin Hospital,Rural Hospital,"591,996",34.96527968,-77.96191331
Vidant Edgecombe Hospital,Rural Hospital,"780,108",35.92103141,-77.55591562
Vidant Medical Center,Rural Hospital,"6,980,659",35.60786168,-77.40403107
Vidant Medical Center,Teaching Hospital,"3,000,000",35.60786168,-77.40403107
Vidant North Hospital,Rural Hospital,"796,346",36.43200621,-77.64641412
Vidant Roanoke Chowan Hospital,Rural Hospital,"766,235",36.2854313,-76.99523498
Wake Forest Baptist Hospital (Wake Forest),Teaching Hospital,"3,000,000",36.08964961,-80.26817483
Wake Med Cary Hospital,General Hospital,"190,355",35.74022405,-78.78145631
Wakemed Raleigh Campus,General Hospital,"751,036",35.78451135,-78.58790197
Washington County Hospital,Rural Hospital,"424,066",35.86278208,-76.72928368
Watauga Medical Center,General Hospital,"116,676",36.19846886,-81.65152936
Wayne UNC Health Care,Rural Hospital,"1,783,693",35.39848375,-77.9524687
Wilkes Medical Center,Rural Hospital,"589,554",36.15919304,-81.15791165
Wilmington Treatment Center Inc,General Hospital,"16,863",34.194104,-77.929468
Wilson Medical Center,Rural Hospital,"1,041,108",35.71855867,-77.94381309
