Provider Name,City,State,Claims Paid By Treatment,Claims Paid By Testing
SEWARD COMMUNITY HEALT,SEWARD,AK,$351 ,$0 
DAHL MEMORIAL CLINIC,SKAGWAY,AK,$0 ,$678 
DAHL MEMORIAL CLINIC,SKAGWAY,AK,$0 ,"$1,817 "
CENTRAL PENINSULA GENE,SOLDOTNA,AK,$51 ,"$12,933 "
ILIULIUK FAMILY AND HE,UNALASKA,AK,$0 ,$57 
MAT SU HEALTH SERVICES,WASILLA,AK,$0 ,"$14,138 "
MAT SU VALLEY III LLC,WASILLA,AK,$73 ,$621 
MAT SU VALLEY MEDICAL,WASILLA,AK,$0 ,$813 
SUNSHINE COMMUNITY HEA,WILLOW,AK,$0 ,$703 
ANESTHESIOLOGISTS ASSO,ALABASTER,AL,$326 ,$0 
BAPTIST HEALTH CENTERS,ALABASTER,AL,"$14,910 ",$0 
BBH SBMC LLC,ALABASTER,AL,"$72,300 ","$9,344 "
BBH SBMC LLC,ALABASTER,AL,"$101,987 ","$20,758 "
ISLAND MEDICAL TROY AL,ALABASTER,AL,"$22,913 ","$27,874 "
NES TENNESSEE INC,ALEXANDER CITY,AL,$0 ,$170 
THE RUSSELL HOSPITAL C,ALEXANDER CITY,AL,"$29,627 ","$27,229 "
ANNISTON EMERGENCY MED,ALEXANDRIA,AL,"$6,934 ",$0 
ANDALUSIA PHYSICIAN PR,ANDALUSIA,AL,$0 ,$834 
COMMUNITY HOSPITAL OF,ANDALUSIA,AL,$0 ,"$2,700 "
COMMUNITY HOSPITAL OF,ANDALUSIA,AL,"$12,649 ",$300 
LINCARE BILLING DEPT,ANDALUSIA,AL,"$3,155 ",$0 
LINCARE BILLING DEPT,ANDALUSIA,AL,"$5,863 ",$0 
MOORE EMERGENCY GROUP,ANDALUSIA,AL,$565 ,$0 
APP OF ALABAMA ED PLLC,ANNISTON,AL,"$1,636 ","$11,894 "
NORTHEAST ALABAMA REGI,ANNISTON,AL,"$298,953 ",$0 
QUALITY OF LIFE HEALTH,ANNISTON,AL,$0 ,$133 
CLAY COUNTY HEALTHCARE,ASHLAND,AL,"$1,149 ","$7,466 "
ALH HOSPITALIST,ATHENS,AL,"$19,263 ",$0 
ATHENS LIMESTONE HOSPI,ATHENS,AL,"$256,367 ","$21,457 "
RADIOLOGY OF HUNTSVILL,ATHENS,AL,$103 ,$0 
WADDELL CENTER FAMILY,ATHENS,AL,$79 ,"$7,308 "
WILLIAM SHANE HARIGEL,ATMORE,AL,$507 ,$0 
WILLIAMS STATION EMERG,ATMORE,AL,$349 ,"$3,425 "
AUBURN URGENT CARE,AUBURN,AL,$0 ,$102 
AUBURN URGENT CARE,AUBURN,AL,$536 ,"$4,553 "
STOPWATCH URGENT CARE,AUBURN,AL,"$6,117 ","$67,022 "
STOPWATCH URGENT CARE,AUBURN,AL,"$18,215 ","$301,657 "
DAILY MEDICAL LLC,BAILEYTON,AL,$583 ,"$3,680 "
DAILY MEDICAL LLC,BAILEYTON,AL,"$2,015 ","$13,517 "
GULF HEALTH HOSPITALS,BAY MINETTE,AL,"$16,942 ","$25,276 "
GULF HEALTH HOSPITALS,BAY MINETTE,AL,$0 ,"$10,991 "
BESSSEMER EMERGENCY PH,BESSEMER,AL,"$2,969 ","$15,271 "
BESSSEMER EMERGENCY PH,BESSEMER,AL,"$2,414 ","$12,935 "
CAHABA MEDICAL CARE FO,BESSEMER,AL,$42 ,"$3,892 "
MIDDLE CREEK MEDICAL C,BESSEMER,AL,$838 ,"$3,215 "
THE HEALTHCARE AUTHORI,BESSEMER,AL,"$217,957 ",$776 
AFFINITY PHYSICIAN SER,BIRMINGHAM,AL,$0 ,$50 
AFFINITY PHYSICIAN SER,BIRMINGHAM,AL,$0 ,$171 
ALABAMA REGIONAL MEDIC,BIRMINGHAM,AL,"$1,406 ","$4,750 "
ALABAMA REGIONAL MEDIC,BIRMINGHAM,AL,"$1,297 ","$7,838 "
ALABAMA REGIONAL MEDIC,BIRMINGHAM,AL,"$1,229 ","$4,241 "
ALBATROSS EMERG PHYS P,BIRMINGHAM,AL,$167 ,$628 
ANESTHESIOLOGISTS ASSO,BIRMINGHAM,AL,"$26,582 ",$543 
ANESTHESIOLOGISTS ASSO,BIRMINGHAM,AL,"$26,768 ",$0 
BAPTIST HEALTH CENTERS,BIRMINGHAM,AL,"$12,672 ",$0 
BAPTIST HEALTH CENTERS,BIRMINGHAM,AL,$72 ,$0 
BBH BMC LLC,BIRMINGHAM,AL,"$13,278 ",$616 
BBH BMC LLC,BIRMINGHAM,AL,"$25,964 ","$4,480 "
BBH PBMC LLC,BIRMINGHAM,AL,"$149,546 ","$24,463 "
BBH PBMC LLC,BIRMINGHAM,AL,"$40,224 ","$14,820 "
BESSSEMER EMERGENCY PH,BIRMINGHAM,AL,$357 ,"$2,100 "
CAHABA MEDICAL CARE FO,BIRMINGHAM,AL,"$1,239 ","$31,840 "
CHRIST HEALTH CENTER I,BIRMINGHAM,AL,"$2,663 ","$76,983 "
CITY OF BIRMINGHAM ALA,BIRMINGHAM,AL,"$7,310 ",$0 
CORE DIAGNOSTICS LABOR,BIRMINGHAM,AL,"$2,674 ","$962,150 "
DEVANSH LAB WERKS INC,BIRMINGHAM,AL,"$6,600 ","$114,323 "
DEVANSH LAB WERKS INC,BIRMINGHAM,AL,"$28,557 ","$411,339 "
DIABETES MANAGEMENT PA,BIRMINGHAM,AL,$633 ,$0 
DIABETES MANAGEMENT PA,BIRMINGHAM,AL,"$6,540 ",$0 
EMERGENCY PHYS ASSOC P,BIRMINGHAM,AL,$629 ,"$3,260 "
GADSDEN REGIONAL PHYSI,BIRMINGHAM,AL,"$1,054 ",$0 
GRANDVIEW MEDI CAL CEN,BIRMINGHAM,AL,"$245,428 ","$119,461 "
ISLAND MEDICAL TROY AL,BIRMINGHAM,AL,$744 ,"$1,220 "
LAB WORKS LLC,BIRMINGHAM,AL,"$3,800 ","$76,057 "
LAB WORKS LLC,BIRMINGHAM,AL,"$3,400 ","$70,500 "
OAK MOUNTAIN GROUP SER,BIRMINGHAM,AL,"$7,777 ",$0 
PARAGON CONTRACTING SE,BIRMINGHAM,AL,"$3,027 ","$7,194 "
PROTEUS MOLECULAR AND,BIRMINGHAM,AL,$900 ,"$189,339 "
PROTEUS MOLECULAR AND,BIRMINGHAM,AL,$300 ,"$42,911 "
RED MOUNTAIN DIAGNOSTI,BIRMINGHAM,AL,$0 ,"$29,715 "
ROSS BRIDGE MEDICAL PR,BIRMINGHAM,AL,"$1,814 ","$92,219 "
RURAL URGENT CARE LLC,BIRMINGHAM,AL,$0 ,"$1,014 "
RURAL URGENT CARE LLC,BIRMINGHAM,AL,$0 ,$102 
SOUTHEAST CLINICAL LAB,BIRMINGHAM,AL,$700 ,"$31,442 "
ST VINCENTS BIRMINGHAM,BIRMINGHAM,AL,"$292,066 ","$18,896 "
ST VINCENTS EAST,BIRMINGHAM,AL,"$25,397 ",$151 
ST VINCENTS EAST,BIRMINGHAM,AL,"$293,375 ","$16,880 "
THE CHILDRENS HOSPITAL,BIRMINGHAM,AL,"$10,274 ",$14 
UNIVERSITY MEDICAL CEN,BIRMINGHAM,AL,$974 ,$0 
UNIVERSITY OF ALABAMA,BIRMINGHAM,AL,"$482,389 ",$51 
UNIVERSITY OF ALABAMA,BIRMINGHAM,AL,$71 ,$0 
UNIVERSITY OF ALABAMA,BIRMINGHAM,AL,"$19,060 ",$0 
UNIVERSITY OF ALABAMA,BIRMINGHAM,AL,"$489,135 ","$76,777 "
UNIVERSITY OF ALABAMA,BIRMINGHAM,AL,$258 ,$0 
UNIVERSITY OF ALABAMA,BIRMINGHAM,AL,$174 ,$0 
UNIVERSITY OF ARKANSAS,BIRMINGHAM,AL,"$2,766 ",$376 
URGENT CARE OF ALABAMA,BIRMINGHAM,AL,"$8,332 ","$165,452 "
VINCENTIAN PHYSICIAN S,BIRMINGHAM,AL,$0 ,$38 
VINCENTIAN PHYSICIAN S,BIRMINGHAM,AL,$71 ,$0 
APP OF ALABAMA ED PLLC,BOAZ,AL,"$2,399 ","$6,859 "
HH HEALTH SYSTEM  MARS,BOAZ,AL,"$17,050 ","$23,848 "
QUALITY OF LIFE HEALTH,BOAZ,AL,$0 ,$90 
UNITED DOCTORS FAMILY,BOAZ,AL,$604 ,"$16,532 "
UNITED DOCTORS FAMILY,BOAZ,AL,"$1,833 ","$72,626 "
ESCAMBIA COUNTY HEALTH,BREWTON,AL,"$1,728 ",$0 
PINELEAF EMERGENCY PHY,BREWTON,AL,$681 ,"$2,052 "
CHOCTAW GENERAL HOSPIT,BUTLER,AL,"$3,498 ","$7,152 "
RURAL HEALTH MEDICAL P,CAMDEN,AL,$0 ,$43 
SELMA RADIOLOGY ASSOCI,CAMDEN,AL,$9 ,$0 
WHATLEY HEALTH SERVICE,CARROLLTON,AL,$399 ,"$2,069 "
CHRIST HEALTH CENTER I,CENTER POINT,AL,$0 ,$317 
CHEROKEE COUNTY PHYSIC,CENTRE,AL,$234 ,"$5,854 "
CAHABA MEDICAL CARE FO,CENTREVILLE,AL,$665 ,"$50,947 "
THE BIBB COUNTY HEALTH,CENTREVILLE,AL,"$56,014 ","$14,808 "
WASHINGTON COUNTY HEAL,CHATOM,AL,"$2,499 ",$0 
AFFINITY PHYSICIAN SER,CHELSEA,AL,$0 ,$121 
GREATER MOBILE URGENT,CITRONELLE,AL,$0 ,$153 
MOBILE COUNTY BOARD OF,CITRONELLE,AL,$0 ,"$1,829 "
PREMIER HEALTH SYSTEMS,CITRONELLE,AL,$0 ,$529 
ST VINCENTS CHILTON,CLANTON,AL,"$45,801 ","$25,117 "
ST VINCENTS CHILTON,CLANTON,AL,"$31,560 ",$667 
VINCENTIAN PHYSICIAN S,CLEVELAND,AL,$0 ,"$1,352 "
AFFINITY PHYSICIAN SER,COLUMBIANA,AL,$73 ,$0 
CULLMAN REGIONAL MEDIC,CULLMAN,AL,"$288,004 ",$0 
ISLAND MEDICAL ALABAMA,CULLMAN,AL,"$7,669 ","$26,496 "
QUALITY OF LIFE HEALTH,CULLMAN,AL,$0 ,$18 
ALABAMA COASTAL RADIOL,DAPHNE,AL,"$9,375 ","$2,346 "
BALDWIN EMERGENCY PHYS,DAPHNE,AL,$528 ,"$6,357 "
DIAGNOSTIC AND MEDICAL,DAPHNE,AL,$635 ,$0 
PULMONARY ASSOCIATES O,DAPHNE,AL,"$2,284 ",$0 
URGENT CARE BY THE BAY,DAPHNE,AL,"$1,621 ","$9,327 "
DECATUR MORGAN HOSPITA,DECATUR,AL,"$346,394 ","$28,077 "
DECATUR MORGAN HOSPITA,DECATUR,AL,"$24,626 ",$0 
ISLAND MEDICAL TROY AL,DECATUR,AL,$468 ,$657 
SLEEP AND PULMONARY CA,DECATUR,AL,"$11,464 ",$0 
APOGEE MEDICAL GROUP A,DEMOPOLIS,AL,$273 ,$0 
TOMBIGBEE HEALTHCARE A,DEMOPOLIS,AL,"$81,345 ","$12,883 "
UNIVERSITY MEDICAL CEN,DEMOPOLIS,AL,$43 ,$0 
TOMBIGBEE HEALTHCARE A,DEMPOPOLIS,AL,$117 ,$234 
ALLSOUTH URGENT CARE C,DOTHAN,AL,"$2,959 ","$18,787 "
APP OF ALABAMA ED PLLC,DOTHAN,AL,"$7,193 ","$22,539 "
APP OF ALABAMA HM LLC,DOTHAN,AL,"$3,020 ",$0 
APP OF ALABAMA HM LLC,DOTHAN,AL,$242 ,$0 
DOTHAN AMBULANCE SERVI,DOTHAN,AL,"$3,033 ",$0 
FMG PRIMECARE LLC,DOTHAN,AL,$0 ,"$1,550 "
FMG PRIMECARE LLC,DOTHAN,AL,$0 ,$121 
PROFESSIONAL RESOURCE,DOTHAN,AL,$0 ,$67 
RADIOOGY ASSOCIATES OF,DOTHAN,AL,"$1,688 ",$744 
SOUTHEAST ALABAMA MEDI,DOTHAN,AL,"$13,294 ",$0 
SOUTHEASTERN PEDIATRIC,DOTHAN,AL,$0 ,$23 
SOUTHERN ALABAMA PHYSI,DOTHAN,AL,$622 ,$0 
TRIAD OF ALABAMA FLOWE,DOTHAN,AL,"$98,556 ","$29,838 "
MEDICAL CENTER ENTERPR,ENTERPRISE,AL,"$16,953 ","$14,991 "
NORTHERN ALABAMA PHYSI,ENTERPRISE,AL,$990 ,$0 
SOUTHERN ALABAMA PHYSI,ENTERPRISE,AL,"$2,934 ",$423 
ADVANTAGE FAMILY CARE,EUFAULA,AL,$408 ,"$3,683 "
ADVANTAGE FAMILY CARE,EUFAULA,AL,$357 ,"$1,913 "
MEDICAL CENTER BARBOUR,EUFAULA,AL,"$140,928 ","$1,597 "
RURAL URGENT CARE LLC,EUFAULA,AL,$206 ,"$80,865 "
RURAL URGENT CARE LLC,EUFAULA,AL,$339 ,"$71,294 "
SOUTHLAND MEDICAL SOLU,EUFAULA,AL,$770 ,"$1,903 "
CENTRAL NORTH ALABAMA,EVA,AL,$0 ,$633 
BALDWIN EMERGENCY PHYS,FAIRHOPE,AL,"$10,965 ","$64,649 "
GULF HEALTH HOSPITALS,FAIRHOPE,AL,"$24,585 ","$56,640 "
GULF HEALTH HOSPITALS,FAIRHOPE,AL,"$14,293 ","$16,576 "
USA HEALTH,FAIRHOPE,AL,$89 ,$127 
RELIAS FAYETTE,FAYETTE,AL,$170 ,"$9,811 "
RELIAS FAYETTE,FAYETTE,AL,$0 ,$692 
ADVANTAGE FAMILY CARE,FLORENCE,AL,$529 ,"$2,712 "
ADVANTAGE FAMILY CARE,FLORENCE,AL,$237 ,"$1,150 "
ECM HEALTH GROUP,FLORENCE,AL,$389 ,$0 
ECM HEALTH GROUP,FLORENCE,AL,"$3,765 ",$0 
ELIZA COFFEE MEMORIAL,FLORENCE,AL,"$51,779 ","$6,918 "
ELIZA COFFEE MEMORIAL,FLORENCE,AL,"$14,306 ","$6,278 "
FLORENCE PATHOLOGY SER,FLORENCE,AL,"$1,100 ","$22,100 "
N RAO BOORGU MD PC,FLORENCE,AL,$470 ,$0 
NORTHWEST ALABAMA EMER,FLORENCE,AL,$918 ,$747 
PRIORITY AMBULANCE,FLORENCE,AL,"$3,124 ",$0 
PRIORITY AMBULANCE,FLORENCE,AL,"$1,775 ",$0 
BALDWIN EMERGENCY PHYS,FOLEY,AL,$170 ,"$3,451 "
FOLEY CLINIC CORP,FOLEY,AL,"$1,695 ",$102 
FOLEY CLINIC CORP,FOLEY,AL,"$13,382 ",$0 
FOLEY EMERGENCY PHYSIC,FOLEY,AL,"$11,496 ","$44,081 "
SOUTH BALDWIN DIAGNOST,FOLEY,AL,"$1,545 ",$9 
SOUTH BALDWIN RMC,FOLEY,AL,"$116,110 ","$91,803 "
SOUTH BALDWIN RMC,FOLEY,AL,"$31,345 ","$11,745 "
FORT PAYNE HBP LLC,FORT PAYNE,AL,$0 ,"$2,414 "
FORT PAYNE HBP LLC,FORT PAYNE,AL,$853 ,"$12,454 "
FORT PAYNE HOSPITAL CO,FORT PAYNE,AL,"$11,728 ",$0 
ALABAMA EMERGENCY PHYS,GADSDEN,AL,"$6,521 ","$1,349 "
APP OF ALABAMA ED PLLC,GADSDEN,AL,"$5,008 ","$35,237 "
GADSDEN REGIONAL PHYSI,GADSDEN,AL,"$1,183 ",$0 
GADSDEN REGIONAL PHYSI,GADSDEN,AL,$197 ,$228 
HEMANT K SINHA,GADSDEN,AL,$274 ,$0 
HEMANT K SINHA,GADSDEN,AL,"$3,621 ",$0 
INTEGRATED MEDICAL CLI,GADSDEN,AL,$197 ,$0 
LIFEHEALTH PC,GADSDEN,AL,"$1,203 ",$0 
QHG OF GADSDEN,GADSDEN,AL,$0 ,"$4,540 "
QHG OF GADSDEN,GADSDEN,AL,"$104,290 ","$22,989 "
QUALITY OF LIFE HEALTH,GADSDEN,AL,$0 ,$18 
QUALITY OF LIFE HEALTH,GADSDEN,AL,$18 ,"$1,814 "
RIVERVIEW REGIONAL MED,GADSDEN,AL,"$53,693 ","$28,692 "
SABRINA MORGAN,GADSDEN,AL,$0 ,$73 
SABRINA MORGAN,GADSDEN,AL,$0 ,$874 
SUNIL JAISWAL MD,GADSDEN,AL,"$8,675 ",$0 
SUNIL JAISWAL MD,GADSDEN,AL,"$6,290 ",$0 
URGENT CARE OF ALABAMA,GARDENDALE,AL,$0 ,"$3,483 "
VINCENTIAN PHYSICIAN S,GARDENDALE,AL,$0 ,$639 
BICHIR EMERGENCY PHYSI,GENEVA,AL,$0 ,$170 
MEDICAL FOUNDATION INC,GILBERTOWN,AL,"$1,179 ",$511 
WHATLEY HEALTH SERVICE,GORDO,AL,$0 ,$187 
SOUTH ALABAMA MEDICAL,GRAND BAY,AL,$23 ,"$2,740 "
SOUTH ALABAMA MEDICAL,GRAND BAY,AL,$47 ,$805 
CITY OF GREENVILLE FIR,GREENVILLE,AL,$455 ,$0 
LV STABLER MEMORIAL HO,GREENVILLE,AL,"$44,283 ",$0 
LV STABLER PRIMARY CAR,GREENVILLE,AL,"$1,205 ","$6,145 "
PEDIATRIC RURAL HEALTH,GREENVILLE,AL,$0 ,$285 
SHERLING EMERGENCY PHY,GREENVILLE,AL,"$1,665 ","$2,569 "
WOODLOT EMERGENCY PHYS,GROVE HILL,AL,$0 ,"$1,132 "
FOLEY CLINIC CORP,GULF SHORES,AL,"$6,504 ","$9,582 "
FOLEY CLINIC CORP,GULF SHORES,AL,"$1,177 ",$719 
HH HEALTH SYSTEM  MARS,GUNTERSVILLE,AL,"$11,722 ",$896 
MIDDLE TN RADIOLOGY AS,HALEYVILLE,AL,$125 ,$0 
MARION REGIONAL MEDICA,HAMILTON,AL,$0 ,"$4,065 "
RELIAS EMERGENCY MEDIC,HAMILTON,AL,$468 ,"$3,736 "
HEADLAND FIRE AND RESC,HEADLAND,AL,"$2,078 ",$0 
ITS ABOUT TIME URGENT,HELENA,AL,$0 ,$276 
ITS ABOUT TIME URGENT,HELENA,AL,$102 ,$389 
AFFINITY PHYSICIAN SER,HOMEWOOD,AL,$0 ,$103 
VINCENTIAN PHYSICIAN S,HOOVER,AL,$0 ,$19 
ADVANTAGE FAMILY CARE,HUNTSVILLE,AL,"$2,469 ","$2,281 "
ADVANTAGE FAMILY CARE,HUNTSVILLE,AL,"$3,664 ","$5,593 "
CENTRAL NORTH ALABAMA,HUNTSVILLE,AL,$0 ,"$6,498 "
CENTRAL NORTH ALABAMA,HUNTSVILLE,AL,$0 ,"$3,310 "
CRESTWOOD HEALTHCARE L,HUNTSVILLE,AL,"$56,784 ","$37,336 "
CRESTWOOD PHYSICIANS S,HUNTSVILLE,AL,$524 ,$0 
DIATHERIX LABORATORIES,HUNTSVILLE,AL,"$170,881 ","$2,784,370 "
HAPPI HEALTH,HUNTSVILLE,AL,$0 ,"$10,309 "
HAPPI HEALTH,HUNTSVILLE,AL,$126 ,"$13,995 "
HH FEVER AND FLU CLINI,HUNTSVILLE,AL,$79 ,"$9,756 "
HH PHYSICIAN CARE,HUNTSVILLE,AL,$42 ,$0 
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,"$459,635 ","$36,862 "
HUNTSVILLE HOSPITAL,HUNTSVILLE,AL,"$1,077,292 ","$293,410 "
HUNTSVILLE HOSPITAL LU,HUNTSVILLE,AL,"$17,540 ",$0 
HUNTSVILLE HOSPITAL NE,HUNTSVILLE,AL,$394 ,$0 
HUNTSVILLE HOSPITAL PA,HUNTSVILLE,AL,$397 ,$0 
HUNTSVILLE HOSPITAL PE,HUNTSVILLE,AL,$369 ,$0 
HUNTSVILLE HOSPITAL SU,HUNTSVILLE,AL,$197 ,$0 
INPATIENT CONSULTANTS,HUNTSVILLE,AL,"$2,518 ",$0 
INPATIENT CONSULTANTS,HUNTSVILLE,AL,"$3,440 ",$0 
NORTH ALABAMA HOSPITAL,HUNTSVILLE,AL,"$35,413 ",$0 
PHYSYNERGY MEDICAL SER,HUNTSVILLE,AL,"$5,733 ",$0 
RADIOLOGY OF HUNTSVILL,HUNTSVILLE,AL,$841 ,$0 
FAMILY MEDICAL CLINIC,JACKSON,AL,$0 ,$103 
JACKSON MEDICAL CENTER,JACKSON,AL,"$11,243 ","$21,583 "
BAPTIST HEALTH CENTERS,JASPER,AL,"$2,614 ",$0 
BBH WBMC LLC,JASPER,AL,"$23,043 ","$43,946 "
BBH WBMC LLC,JASPER,AL,"$53,604 ","$27,245 "
CAPSTONE RURAL HEATH C,JASPER,AL,$0 ,$821 
ISLAND MEDICAL TROY AL,JASPER,AL,$0 ,"$2,120 "
REGIONAL PARAMEDICAL S,JASPER,AL,"$45,841 ",$0 
BAPTIST HEALTH CENTERS,LINCOLN,AL,$43 ,$85 
JOHN C STENNIS MEMORIA,LIVINGSTON,AL,$43 ,$114 
VINCENTIAN PHYSICIAN S,LOCUST FORK,AL,$298 ,$0 
MEDICAL CENTER BARBOUR,LOUISVILLE,AL,$18 ,$0 
ADVANTAGE FAMILY CARE,MADISON,AL,$720 ,"$4,336 "
ADVANTAGE FAMILY CARE,MADISON,AL,"$1,318 ","$7,024 "
MADISON CORE LABORATOR,MADISON,AL,"$3,100 ","$109,550 "
NORTH ALABAMA HOSPITAL,MADISON,AL,"$1,457 ",$0 
NORTH ALABAMA HOSPITAL,MADISON,AL,$623 ,$0 
CAHABA MEDICAL CARE FO,MARION,AL,$0 ,"$1,517 "
RURAL HEALTH MEDICAL P,MARION,AL,$0 ,$889 
CRESTWOOD PHYSICIANS S,MERIDIANVILLE,AL,$0 ,$22 
HEALTHCARE AUTHORITY F,MILLBROOK,AL,$569 ,"$2,612 "
ALABAMA PROVIDENCE HEA,MOBILE,AL,$235 ,$473 
ALABAMA PROVIDENCE HEA,MOBILE,AL,$0 ,$145 
ALABAMA PROVIDENCE HEA,MOBILE,AL,$0 ,$71 
ALABAMA PROVIDENCE HEA,MOBILE,AL,"$1,009 ",$121 
BALDWIN EMERGENCY PHYS,MOBILE,AL,"$10,576 ","$99,667 "
CITY OF MOBILE,MOBILE,AL,"$3,538 ",$0 
CITY OF MOBILE,MOBILE,AL,"$3,154 ",$0 
COAST DIAGNOSTICS LLC,MOBILE,AL,"$42,663 ","$729,867 "
COAST DIAGNOSTICS LLC,MOBILE,AL,"$4,600 ","$83,517 "
COMPASS URGENT CARE,MOBILE,AL,$0 ,$722 
COMPASS URGENT CARE,MOBILE,AL,$545 ,"$8,679 "
COMPASS URGENT CARE,MOBILE,AL,$0 ,$332 
COMPASS URGENT CARE,MOBILE,AL,$884 ,"$11,201 "
DIAGNOSTIC AND MEDICAL,MOBILE,AL,$674 ,$0 
DIAGNOSTIC AND MEDICAL,MOBILE,AL,"$3,428 ",$0 
DIAGNOSTIC AND MEDICAL,MOBILE,AL,$488 ,$0 
GREATER MOBILE URGENT,MOBILE,AL,"$3,388 ","$28,842 "
GREATER MOBILE URGENT,MOBILE,AL,$511 ,"$7,493 "
GREATER MOBILE URGENT,MOBILE,AL,$394 ,"$4,673 "
GREATER MOBILE URGENT,MOBILE,AL,$0 ,"$1,346 "
GULF REGIONAL PATHOLOG,MOBILE,AL,$97 ,$0 
HANDS OF HOPE HEALTH C,MOBILE,AL,"$1,407 ",$102 
INPATIENT CONSULTANTS,MOBILE,AL,$197 ,$0 
INPATIENT CONSULTANTS,MOBILE,AL,$197 ,$0 
INPATIENT CONSULTANTS,MOBILE,AL,"$3,288 ",$0 
INPATIENT CONSULTANTS,MOBILE,AL,"$1,386 ",$0 
MOBILE COUNTY BOARD OF,MOBILE,AL,$0 ,"$1,588 "
MOBILE COUNTY BOARD OF,MOBILE,AL,$0 ,"$21,023 "
MOBILE COUNTY BOARD OF,MOBILE,AL,$18 ,"$2,625 "
MOBILE COUNTY BOARD OF,MOBILE,AL,$0 ,"$36,520 "
MOBILE COUNTY BOARD OF,MOBILE,AL,$18 ,"$4,338 "
MOBILE COUNTY BOARD OF,MOBILE,AL,$0 ,$507 
MOBILE EMERGENCY PHYSI,MOBILE,AL,"$9,095 ","$105,542 "
MOBILE INFIRMARY MEDIC,MOBILE,AL,"$173,156 ","$124,441 "
PROVIDENCE HOSPITAL,MOBILE,AL,$650 ,$397 
PROVIDENCE HOSPITAL,MOBILE,AL,"$109,808 ","$48,742 "
PULMONARY ASSOCIATES O,MOBILE,AL,"$40,315 ",$0 
PULMONARY ASSOCIATES O,MOBILE,AL,"$70,073 ",$0 
RADIOLOGY ASSOC OF MOB,MOBILE,AL,"$2,166 ","$2,025 "
SPRINGHILL DIAGNOSTIC,MOBILE,AL,$766 ,$909 
SPRINGHILL DIAGNOSTIC,MOBILE,AL,$321 ,$469 
SPRINGHILL EMERGENCY P,MOBILE,AL,"$5,724 ","$54,869 "
SPRINGHILL HOSPITALS I,MOBILE,AL,"$660,098 ","$61,923 "
SURGICAL ASSOCIATION O,MOBILE,AL,$38 ,$0 
SYNERGY LABORATORIES I,MOBILE,AL,$0 ,"$111,353 "
THE PARK CLINIC FOR CO,MOBILE,AL,$749 ,$0 
UNIVERSITY OF SOUTH AL,MOBILE,AL,$0 ,$729 
UNIVERSITY OF SOUTH AL,MOBILE,AL,"$3,346 ","$16,658 "
USA HEALTH,MOBILE,AL,"$295,004 ","$26,508 "
USA HEALTH,MOBILE,AL,"$25,947 ","$10,848 "
USA HEALTH,MOBILE,AL,"$2,607 ","$6,090 "
USA HEALTH,MOBILE,AL,"$853,566 ","$109,857 "
